name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings,model,design,run
chatgpt_d1_01,CC(C)Cc1nnc(-c2cccc(-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CC(C)C,C27H39N7,461.7,5.58,90.2,0,7,10,3.05,0.588,0.0,False,0.0,True,True,2,1,chatgpt,1,1
chatgpt_d1_02,c1cc(-c2nnc(C3CCCCC3)c(C3CCCCC3)n2)nc(-c2nnc(C3CCCCC3)c(C3CCCCC3)n2)c1,C35H47N7,565.8,8.98,90.2,0,7,6,2.97,0.444,0.0,False,0.357,True,True,2,1,chatgpt,1,1
chatgpt_d1_03,CC(C)Cc1nnc(-c2cccc(-c3nnc(CC(C)C)c(CC(C)C)n3)c2)nc1CC(C)C,C28H40N6,460.7,6.18,77.3,0,6,10,2.94,0.375,0.0,False,0.676,True,True,2,0,chatgpt,1,1
chatgpt_d1_04,CCCCc1nnc(-c2nccnc2-c2nnc(CCCC)c(CCCC)n2)nc1CCCC,C26H38N8,462.6,5.55,103.1,0,8,14,3.1,0.513,0.0,False,0.273,True,True,2,0,chatgpt,1,1
chatgpt_d1_05,Cn1nc(C(C)(C)C)cc1-c1cccc(-c2cc(C(C)(C)C)n(C)n2)n1,C21H29N5,351.5,4.48,48.5,0,5,2,2.8,0.327,0.0,False,0.208,True,True,0,1,chatgpt,1,1
chatgpt_d1_06,CCCCc1nnc(-c2cccc(-c3nnc(CCCC)n3C)n2)n1C,C19H27N7,353.5,3.36,74.3,0,7,8,2.62,0.409,0.0,False,0.283,True,True,0,1,chatgpt,1,1
chatgpt_d1_07,CCCCc1nnc(-c2cccc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc1CCCC,C27H37N7,459.6,5.82,90.2,0,7,8,3.3,0.667,0.018,False,0.438,True,True,2,1,chatgpt,1,1
chatgpt_d1_08,c1ccc(-c2nnc(-c3cccc(-c4nnc(-c5ccccc5)c(-c5ccccc5)n4)n3)nc2-c2ccccc2)cc1,C35H23N7,541.6,7.45,90.2,0,7,6,2.21,0.429,0.0,False,0.395,True,True,2,1,chatgpt,1,1
chatgpt_d1_09,CC(C)Cc1nnc(-c2ccnc(-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CC(C)C,C26H38N8,462.6,4.97,103.1,0,8,10,3.26,0.39,0.0,False,0.686,True,True,2,0,chatgpt,1,1
chatgpt_d1_10,CCCCc1nnc(-c2ccnc(-c3nnc(CCCC)c(CCCC)n3)n2)nc1CCCC,C26H38N8,462.6,5.55,103.1,0,8,14,3.11,0.615,0.0,False,0.622,True,True,2,0,chatgpt,1,1
chatgpt_d1_r2_01,CCCCCc1nnc(-c2cccc(-c3nnc(C)c(C)n3)n2)nc1CCCCC,C23H31N7,405.6,4.87,90.2,0,7,10,2.85,0.811,0.0,False,0.0,True,True,2,1,chatgpt,1,2
chatgpt_d1_r2_02,CCCc1nnc(-c2ccnc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,C22H30N8,406.5,3.99,103.1,0,8,10,3.13,0.676,0.0,False,0.467,True,True,2,0,chatgpt,1,2
chatgpt_d1_r2_03,c1cc(-c2nnc(C3CCCC3)c(C3CCCC3)n2)nc(-c2nnc(C3CCCC3)c(C3CCCC3)n2)c1,C31H39N7,509.7,7.42,90.2,0,7,6,2.98,0.455,0.0,False,0.306,True,True,2,1,chatgpt,1,2
chatgpt_d1_r2_04,c1ccc(Cc2nnc(-c3cccc(-c4nnc(Cc5ccccc5)c(Cc5ccccc5)n4)n3)nc2Cc2ccccc2)cc1,C39H31N7,597.7,7.15,90.2,0,7,10,2.57,0.543,0.0,False,0.422,True,True,2,1,chatgpt,1,2
chatgpt_d1_r2_05,CCCCc1cc(-c2cccc(-c3cc(CCCC)[nH]n3)n2)[nH]n1,C19H25N5,323.4,4.55,70.2,2,5,8,2.78,0.578,0.0,False,0.293,True,True,0,1,chatgpt,1,2
chatgpt_d1_r2_06,c1ccc(CCc2cc(-c3cccc(-c4cc(CCc5ccccc5)[nH]n4)n3)[nH]n2)cc1,C27H25N5,419.5,5.43,70.2,2,5,8,2.6,0.447,0.0,False,0.66,True,True,0,1,chatgpt,1,2
chatgpt_d1_r2_07,CCCCc1cc(-c2cccc(-c3nnc(CCCC)c(CCCC)n3)n2)[nH]n1,C23H32N6,392.6,5.35,80.2,1,6,11,2.95,0.622,0.0,False,0.62,True,True,1,1,chatgpt,1,2
chatgpt_d1_r2_08,CCCCc1nnc(-c2cncc(-c3nnc(CCCC)c(CCCC)n3)n2)nc1CCCC,C26H38N8,462.6,5.55,103.1,0,8,14,3.05,0.639,0.0,False,0.561,True,True,2,0,chatgpt,1,2
chatgpt_d1_r2_09,CCCCc1cnc(-c2cccc(-c3nnc(CCCC)c(CCCC)n3)n2)[nH]1,C23H32N6,392.6,5.35,80.2,1,6,11,2.89,0.636,0.0,False,0.596,True,True,1,1,chatgpt,1,2
chatgpt_d1_r2_10,CCCCc1nnc(-c2cccc(-c3nnc(CCCC)[nH]3)n2)[nH]1,C17H23N7,325.4,3.34,96.0,2,7,8,3.15,0.429,0.0,False,0.489,True,True,0,1,chatgpt,1,2
chatgpt_d1_r3_01,CCCc1nnc(-c2cccc(-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CCC,C25H35N7,433.6,5.09,90.2,0,7,10,3.1,0.771,0.0,False,0.0,True,True,2,1,chatgpt,1,3
chatgpt_d1_r3_02,CCCCc1nnc(-c2cccc(-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CCCC,C27H39N7,461.7,5.87,90.2,0,7,12,3.1,0.7,0.0,False,0.846,True,True,2,1,chatgpt,1,3
chatgpt_d1_r3_03,CC(C)(C)Cc1cc(-c2ccnc(-c3cc(CC(C)(C)C)[nH]n3)c2)n[nH]1,C21H29N5,351.5,5.04,70.2,2,5,4,3.03,0.59,0.0,False,0.115,True,True,0,1,chatgpt,1,3
chatgpt_d1_r3_04,CC(C)(C)Cc1cc(-c2cccnc2-c2nnc(CC(C)(C)C)c(CC(C)(C)C)n2)n[nH]1,C26H38N6,434.6,6.09,80.2,1,6,5,3.31,0.49,0.0,False,0.453,True,True,1,1,chatgpt,1,3
chatgpt_d1_r3_05,CC(C)(C)Cc1cc(-c2cc(-c3nnc(CC(C)(C)C)c(CC(C)(C)C)n3)ccn2)n[nH]1,C26H38N6,434.6,6.09,80.2,1,6,5,3.27,0.511,0.0,False,0.705,True,True,1,1,chatgpt,1,3
chatgpt_d1_r3_06,CC(C)Cc1nnc(-c2cnc(-c3nnc(CC(C)C)c(CC(C)C)n3)cn2)nc1CC(C)C,C26H38N8,462.6,4.97,103.1,0,8,10,3.11,0.359,0.0,False,0.55,True,True,2,0,chatgpt,1,3
chatgpt_d1_r3_07,CCC(C)c1cc(-c2cccc(-c3ncccc3-c3cc(C(C)CC)[nH]n3)n2)n[nH]1,C24H28N6,400.5,5.95,83.1,2,6,7,3.77,0.365,0.0,False,0.387,True,True,0,2,chatgpt,1,3
chatgpt_d1_r3_08,CC(C)(C)Cc1cc(-c2cccc(-c3ncccc3-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,C26H32N6,428.6,6.1,83.1,2,6,5,3.13,0.707,0.0,False,0.667,True,True,0,2,chatgpt,1,3
