design,model,MW_mean,MW_sd,MW_sem,MolLogP_mean,MolLogP_sd,MolLogP_sem,TPSA_mean,TPSA_sd,TPSA_sem,HBD_mean,HBD_sd,HBD_sem,arom_N_mean,arom_N_sd,arom_N_sem,rot_bonds_mean,rot_bonds_sd,rot_bonds_sem,SA_score_mean,SA_score_sd,SA_score_sem,max_sim_exp_mean,max_sim_exp_sd,max_sim_exp_sem,min_sim_exp_mean,min_sim_exp_sd,min_sim_exp_sem,max_sim_internal_mean,max_sim_internal_sd,max_sim_internal_sem,n_triazine_rings_mean,n_triazine_rings_sd,n_triazine_rings_sem,n_pyridine_rings_mean,n_pyridine_rings_sd,n_pyridine_rings_sem,dup_of_exp_mean,dup_of_exp_sd,dup_of_exp_sem,crit_sim_exp_0.25_0.85_mean,crit_sim_exp_0.25_0.85_sd,crit_sim_exp_0.25_0.85_sem,crit_logP_gt3_mean,crit_logP_gt3_sd,crit_logP_gt3_sem
1,chatgpt,446.746,16.341125420239543,7.307973453701087,5.859,0.35107192995168396,0.15700414007280195,86.428,2.215912904425627,0.9909863773029394,0.52,0.47644516998286385,0.21307275752662516,6.640000000000001,0.29664793948382645,0.13266499161421597,9.14,1.0807404868885038,0.4833218389437829,3.0458,0.1530937621198199,0.06846561180621992,0.55512,0.05702492437522384,0.025502321462957046,0.00114,0.001728583234906552,0.0007730459236035075,0.47859999999999997,0.05887193728764155,0.026328330748454216,1.4,0.3937003937005905,0.17606816861659005,0.9200000000000002,0.2774887385102322,0.12409673645990858,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,claude,542.096,4.829832295225197,2.1599666664094745,7.9836,0.33324810577106034,0.14903308357542616,84.32000000000001,6.722949501520888,3.006594418939806,0.18,0.20493901531919195,0.09165151389911678,6.720000000000001,0.6534523701081816,0.2922327839240491,11.4,3.167017524422623,1.416333294108417,3.3756,0.17312798733884702,0.07742518969947697,0.5279999999999999,0.05301570522024583,0.023709344149512028,0.004999999999999999,0.0017564168070250293,0.0007854934754662191,0.40126,0.040094924865872975,0.01793099551056772,0.9,0.3535533905932738,0.15811388300841897,1.64,0.15165750888103102,0.06782329983125268,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,claudescience,561.568,47.572727165887784,21.275170363595198,8.217600000000001,0.7751437286077982,0.346654813899937,88.646,6.094381018610502,2.7254900476794983,0.16,0.21908902300206645,0.09797958971132713,7.2,0.3741657386773942,0.16733200530681513,9.620000000000001,2.1879213879844954,0.9784681905918047,3.4914,0.15269020924735136,0.06828513747514892,0.48317999999999994,0.03860481835211764,0.01726459961887329,0.00594,0.001960357110324545,0.0008766983517721474,0.38478,0.050549500492091906,0.022606423865795314,1.16,0.3847076812334269,0.17204650534085253,1.6,0.25495097567963926,0.1140175425099138,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,gemini,575.2360000000001,43.690580563778276,19.539021623407862,8.761199999999999,1.1504306584927226,0.5144882311579146,91.964,4.50051996995903,2.0126937173847406,0.0,0.0,0.0,7.26,0.1816590212458497,0.08124038404635969,15.540000000000001,5.564889936018501,2.4886944368483648,3.2375999999999996,0.1685016320395742,0.07535622071202888,0.6639200000000001,0.13657714669738855,0.061079156837664336,0.0009400000000000001,0.0021019038988498023,0.00094,0.59432,0.16471094984851495,0.07366097609996762,1.7600000000000002,0.3286335345030997,0.14696938456699069,1.42,0.19235384061671346,0.08602325267042626,0.0,0.0,0.0,0.7,0.2738612787525831,0.12247448713915891,1.0,0.0,0.0
2,chatgpt,449.166,12.390697316939042,5.541288297859991,6.3842,0.8640478574708698,0.38641394902358284,59.025999999999996,7.169458138520651,3.2062791519142557,0.0,0.0,0.0,2.08,1.089495295997188,0.48723710860319336,14.9,1.8096961070853852,0.809320702811932,2.8436,0.14410516992807726,0.06444579117366785,0.54904,0.0358784475695368,0.016045329538529277,0.0,0.0,0.0,0.48310000000000003,0.08074258479885323,0.0361091816578554,0.3,0.34641016151377546,0.15491933384829668,1.1800000000000002,0.17888543819998315,0.07999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,claude,555.928,56.1935923393406,25.1305384741354,8.62,1.2790457380406692,0.572006643318065,68.0,4.609539022505394,2.0614485198519987,0.06000000000000001,0.0894427190999916,0.04000000000000001,2.96,0.39115214431215894,0.17492855684535902,18.32,2.425283488584375,1.0846197490364995,3.2039999999999997,0.3548260137024907,0.1586830173648082,0.53582,0.031708468900279646,0.014180458384692658,0.00278,0.00264896206088347,0.001184651847590675,0.46746,0.04021091891514046,0.017982869626397235,0.27999999999999997,0.08366600265340755,0.03741657386773941,1.44,0.11401754250991383,0.05099019513592786,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,claudescience,583.9219999999999,13.117704448568736,5.866415771150217,9.1572,0.5302274983438712,0.2371249459673106,69.188,3.4565112469077794,1.545798822615671,0.0,0.0,0.0,3.3600000000000003,0.3577708763999663,0.15999999999999998,17.82,2.367910471280534,1.0589617556833675,3.5296,0.0668789952077631,0.029909195910288188,0.51448,0.019560853764598277,0.008747879743114882,0.0038199999999999996,0.001070980858839223,0.0004789572005931218,0.4997,0.026340083523026282,0.011779643458101782,0.32,0.08366600265340757,0.03741657386773942,1.44,0.11401754250991382,0.050990195135927854,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,gemini,609.996,14.513580881367622,6.490670689535862,10.307,0.5051410694053694,0.22590595388346904,65.478,3.133707069909371,1.4014364059778077,0.0,0.0,0.0,2.2,0.6123724356957945,0.27386127875258304,25.16,2.4915858403835904,1.1142710621747298,3.0629999999999997,0.2236850464380665,0.10003499387714278,0.5915,0.07092326839620408,0.031717849864074964,0.0006000000000000001,0.0008246211251235322,0.0003687817782917155,0.5504200000000001,0.09083464096918094,0.04062248638377519,0.16,0.1816590212458495,0.08124038404635961,1.3199999999999998,0.20493901531919193,0.09165151389911677,0.02,0.044721359549995794,0.02,0.9400000000000001,0.08944271909999156,0.03999999999999999,1.0,0.0,0.0
3,chatgpt,477.55,73.25819135086533,32.762059153844405,6.3473999999999995,0.7745394115214542,0.3463845550829311,71.672,19.490714968928152,8.71651272011921,0.06000000000000001,0.0894427190999916,0.04000000000000001,2.8,1.5182226450688976,0.6789698078707181,16.04,2.627356085497358,1.1749893616539682,2.782,0.32914054748693616,0.14719612766645737,0.29375999999999997,0.08710719258476879,0.038955520789741724,0.09364,0.023208145121917868,0.0103789980248577,0.48948,0.09615194745817682,0.04300045813709429,0.44000000000000006,0.5549774770204643,0.2481934729198171,0.9199999999999999,0.21679483388678805,0.0969535971483266,0.0,0.0,0.0,0.48,0.3563705936241092,0.15937377450509227,1.0,0.0,0.0
3,claude,577.2439999999999,38.555621898758176,17.24259829608056,9.392,1.0017826610597735,0.44801082576205703,68.268,5.374362287750983,2.4034878822244963,0.04,0.05477225575051661,0.024494897427831782,3.4200000000000004,1.0134100848126586,0.45321076774498636,20.62,2.7453597214208556,1.2277621919573836,3.1936,0.24840954087957254,0.11109212393324741,0.40754,0.025683224096674458,0.011485886992304944,0.09952,0.0029218145047213385,0.0013066751700403585,0.48613999999999996,0.07158706587086802,0.03201470911940321,0.38,0.13038404810405296,0.058309518948452994,1.3800000000000001,0.130384048104053,0.05830951894845301,0.0,0.0,0.0,0.8400000000000001,0.0894427190999916,0.04000000000000001,1.0,0.0,0.0
3,claudescience,559.88,27.913923944870216,12.483486291897778,8.6828,0.38672108812424516,0.17294692827569977,69.634,6.2139061788861945,2.7789433243590995,0.04,0.05477225575051661,0.024494897427831782,3.4200000000000004,0.4381780460041329,0.19595917942265426,18.4,2.5455844122715714,1.1384199576606167,3.2976,0.1999482433031109,0.0894195728014846,0.41742,0.038590439230462244,0.01725816908017765,0.10203999999999999,0.009872588313102093,0.004415155716393251,0.49605999999999995,0.05197261779052504,0.02324286126964578,0.4,0.15811388300841897,0.07071067811865475,1.3800000000000001,0.08366600265340753,0.037416573867739396,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,gemini,531.03,17.26617502517567,7.721668213540388,7.9872,0.5828860952192977,0.26067458640995295,71.54400000000001,10.282262883237324,4.598367753888327,0.1,0.14142135623730953,0.0632455532033676,3.06,1.348332303254654,0.6029925372672534,19.580000000000002,1.8539147768977946,0.8290958931269651,2.8324,0.17357073486045968,0.07762319241051606,0.42078,0.10120581505032208,0.045260616434158296,0.08548,0.011277056353499343,0.005043252918504086,0.55596,0.06770031757680318,0.03027650244001115,0.48,0.454972526643093,0.20346989949375802,1.3,0.21213203435596426,0.09486832980505137,0.0,0.0,0.0,0.76,0.11401754250991383,0.05099019513592786,0.9800000000000001,0.04472135954999579,0.019999999999999997
4,chatgpt,572.24,15.52623425045496,6.943543043720557,7.886,0.5095787475945207,0.22789054390211114,101.996,1.7033290932758718,0.7617519281235858,0.0,0.0,0.0,7.9,0.14142135623730948,0.06324555320336757,11.3,2.6485845276298052,1.1844830095868828,3.2444,0.11176001073729361,0.04998059623493898,0.55062,0.10996634485150451,0.04917844446502962,0.07162,0.016009590875472116,0.007159706697903204,0.5236,0.07588428691105954,0.033936484791445336,2.0,0.0,0.0,1.9,0.14142135623730953,0.0632455532033676,0.0,0.0,0.0,0.9199999999999999,0.13038404810405302,0.05830951894845302,1.0,0.0,0.0
4,claude,602.1759999999999,27.357531504139732,12.234660027969701,8.4284,0.8544110837296058,0.38210425278973265,102.41399999999999,1.9032682417357827,0.8511674335875424,0.08,0.08366600265340757,0.03741657386773942,7.840000000000001,0.15165750888103094,0.06782329983125264,8.72,2.4468346899617064,1.0942577392917996,3.5812,0.18814542247952754,0.08414119086392811,0.63222,0.051727623181429865,0.023133296349634222,0.06304000000000001,0.014125968993311573,0.006317325383419789,0.44332000000000005,0.05243154584789581,0.023448100136258376,1.92,0.08366600265340754,0.0374165738677394,1.92,0.08366600265340755,0.03741657386773941,0.04,0.05477225575051661,0.024494897427831782,0.9400000000000001,0.08944271909999157,0.039999999999999994,1.0,0.0,0.0
4,claudescience,639.768,18.67285650349191,8.35075529518139,9.084999999999999,0.5100269600717202,0.22809099061558746,103.98599999999999,2.18106166808736,0.975400430592484,0.0,0.0,0.0,8.040000000000001,0.11401754250991339,0.05099019513592766,6.9799999999999995,2.286263326915778,1.0224480426897007,3.8648,0.21944634879623742,0.0981393906645032,0.5982000000000001,0.024469062098903576,0.010942897239762415,0.044539999999999996,0.017684399905001015,0.007908704065774617,0.491,0.026511318337645893,0.011856221995222587,2.0,0.0,0.0,1.9600000000000002,0.11401754250991382,0.050990195135927854,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,gemini,627.552,30.48044815943488,13.631270813830946,9.4054,0.9733030360581433,0.43527435026658745,103.02799999999999,3.9036098678018485,1.7457474044087802,0.0,0.0,0.0,7.88,0.216794833886788,0.09695359714832658,17.36,2.1605554841290235,0.9662297863344929,3.1694,0.08219367372249502,0.036758128352787404,0.7017599999999999,0.04616939462457788,0.020647580972113902,0.08382,0.01529336457421976,0.006839400558528502,0.62292,0.05998843221822015,0.02682764246071575,2.0,0.0,0.0,1.8800000000000001,0.216794833886788,0.09695359714832658,0.02,0.044721359549995794,0.02,0.6199999999999999,0.08366600265340754,0.0374165738677394,0.96,0.08944271909999157,0.039999999999999994
