design,model,run,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,max_sim_internal,n_triazine_rings,n_pyridine_rings,dup_of_exp,crit_sim_exp_0.25_0.85,crit_logP_gt3
1,chatgpt,1,458.21999999999997,5.792,87.02000000000001,0.0,7.0,8.8,2.936,0.47569999999999996,0.0018,0.39380000000000004,1.6,0.6,0.0,1.0,1.0
1,chatgpt,2,423.56000000000006,5.3,87.36,0.8,6.6,9.6,2.895,0.5836,0.0,0.44139999999999996,1.2,0.8,0.0,1.0,1.0
1,chatgpt,3,445.81000000000006,5.899,87.65,0.9,6.6,7.5,3.251,0.5457,0.0,0.5143,1.1,1.3,0.0,1.0,1.0
1,chatgpt,4,440.46000000000004,6.115,82.49,0.9,6.2,9.4,2.9859999999999998,0.6298999999999999,0.0039,0.5338,1.1,1.1,0.0,1.0,1.0
1,chatgpt,5,465.68,6.189,87.62,0.0,6.8,10.4,3.161,0.5407,0.0,0.5096999999999999,2.0,0.8,0.0,1.0,1.0
1,claude,1,544.37,8.28,82.97,0.2,7.0,13.3,3.2600000000000002,0.497,0.0034000000000000002,0.3956,0.7,1.8,0.0,1.0,1.0
1,claude,2,549.47,8.2,79.87,0.0,6.5,11.4,3.5450000000000004,0.48069999999999996,0.0066,0.33730000000000004,0.8,1.5,0.0,1.0,1.0
1,claude,3,537.53,7.608,89.72,0.2,7.4,10.9,3.4549999999999996,0.5169,0.005,0.40449999999999997,0.9,1.8,0.0,1.0,1.0
1,claude,4,539.54,7.633,92.58,0.5,7.0,6.5,3.4859999999999998,0.617,0.006899999999999999,0.4276,1.5,1.5,0.0,1.0,1.0
1,claude,5,539.5699999999999,8.197,76.46000000000001,0.0,5.7,14.9,3.132,0.5284,0.0031,0.4413,0.6,1.6,0.0,1.0,1.0
1,claudescience,1,595.42,8.489,92.17999999999999,0.0,7.4,6.3,3.7409999999999997,0.4558,0.0066,0.4248,1.6,1.7,0.0,1.0,1.0
1,claudescience,2,579.02,8.736,82.53,0.0,7.1,11.1,3.535,0.46959999999999996,0.0049,0.396,0.7,1.6,0.0,1.0,1.0
1,claudescience,3,485.6,6.881,83.52000000000001,0.4,6.7,10.2,3.3850000000000002,0.5327999999999999,0.007000000000000001,0.3969,1.1,1.2,0.0,1.0,1.0
1,claudescience,4,601.53,8.741,97.12,0.0,7.7,8.7,3.386,0.5144,0.0081,0.40940000000000004,1.5,1.9,0.0,1.0,1.0
1,claudescience,5,546.27,8.241,87.88,0.4,7.1,11.8,3.41,0.44329999999999997,0.0031,0.2968,0.9,1.6,0.0,1.0,1.0
1,gemini,1,553.4,7.906999999999999,91.19,0.0,7.2,8.8,3.435,0.5296000000000001,0.0047,0.4923,1.8,1.2,0.0,1.0,1.0
1,gemini,2,589.1800000000001,8.926,96.65,0.0,7.5,17.9,3.177,0.7503,0.0,0.714,2.0,1.5,0.0,0.6,1.0
1,gemini,3,515.63,7.391,85.13,0.0,7.1,11.8,3.378,0.5713,0.0,0.4048,1.2,1.3,0.0,0.9,1.0
1,gemini,4,585.1800000000001,9.272,91.49,0.0,7.1,16.0,3.179,0.6104,0.0,0.5516,1.8,1.7,0.0,0.7,1.0
1,gemini,5,632.79,10.309999999999999,95.36,0.0,7.4,23.2,3.0189999999999997,0.858,0.0,0.8089000000000001,2.0,1.4,0.0,0.3,1.0
2,chatgpt,1,454.43999999999994,7.819,54.25,0.0,2.0,16.9,2.9579999999999997,0.49139999999999995,0.0,0.5058,0.2,1.4,0.0,1.0,1.0
2,chatgpt,2,456.98,6.365,70.39,0.0,3.7,14.8,2.873,0.5791999999999999,0.0,0.6155,0.8,1.3,0.0,1.0,1.0
2,chatgpt,3,446.96000000000004,5.936,61.32000000000001,0.0,2.5,15.1,2.852,0.55,0.0,0.42919999999999997,0.5,1.0,0.0,1.0,1.0
2,chatgpt,4,428.53999999999996,5.5409999999999995,56.7,0.0,1.2,12.0,2.9370000000000003,0.5791000000000001,0.0,0.4307,0.0,1.2,0.0,1.0,1.0
2,chatgpt,5,458.91,6.26,52.470000000000006,0.0,1.0,15.7,2.598,0.5455,0.0,0.4343,0.0,1.0,0.0,1.0,1.0
2,claude,1,597.65,9.725999999999999,67.17999999999999,0.0,2.9,17.1,2.988,0.5820000000000001,0.0045,0.4812,0.3,1.6,0.0,1.0,1.0
2,claude,2,468.48,6.571,66.91,0.2,3.0,14.9,2.901,0.5490999999999999,0.0015,0.4305,0.3,1.4,0.0,1.0,1.0
2,claude,3,530.61,8.206999999999999,65.76,0.0,3.0,18.7,3.09,0.5013,0.0,0.43479999999999996,0.2,1.4,0.0,1.0,1.0
